season,week,date,visitor,vScore,home,hScore,notes
1978,1,1978-09-02,new-york-giants,19,tampa-bay-buccaneers,13,
1978,1,1978-09-03,green-bay-packers,13,detroit-lions,7,
1978,1,1978-09-03,houston-oilers,14,atlanta-falcons,20,
1978,1,1978-09-03,kansas-city-chiefs,24,cincinnati-bengals,23,
1978,1,1978-09-03,los-angeles-rams,16,philadelphia-eagles,14,
1978,1,1978-09-03,miami-dolphins,20,new-york-jets,33,
1978,1,1978-09-03,minnesota-vikings,24,new-orleans-saints,31,
1978,1,1978-09-03,pittsburgh-steelers,28,buffalo-bills,17,
1978,1,1978-09-03,st.-louis-cardinals,10,chicago-bears,17,
1978,1,1978-09-03,san-francisco-49ers,7,cleveland-browns,24,
1978,1,1978-09-03,washington-redskins,16,new-england-patriots,14,
1978,1,1978-09-03,oakland-raiders,6,denver-broncos,14,
1978,1,1978-09-03,san-diego-chargers,24,seattle-seahawks,20,
1978,1,1978-09-04,baltimore-colts,0,dallas-cowboys,38,
1978,2,1978-09-09,detroit-lions,15,tampa-bay-buccaneers,7,
1978,2,1978-09-10,cincinnati-bengals,10,cleveland-browns,13,OT
1978,2,1978-09-10,dallas-cowboys,34,new-york-giants,24,
1978,2,1978-09-10,houston-oilers,20,kansas-city-chiefs,17,
1978,2,1978-09-10,new-england-patriots,16,st.-louis-cardinals,6,
1978,2,1978-09-10,new-orleans-saints,17,green-bay-packers,28,
1978,2,1978-09-10,philadelphia-eagles,30,washington-redskins,35,
1978,2,1978-09-10,seattle-seahawks,10,pittsburgh-steelers,21,
1978,2,1978-09-10,atlanta-falcons,0,los-angeles-rams,10,
1978,2,1978-09-10,chicago-bears,16,san-francisco-49ers,13,
1978,2,1978-09-10,miami-dolphins,42,baltimore-colts,0,
1978,2,1978-09-10,new-york-jets,21,buffalo-bills,20,
1978,2,1978-09-10,oakland-raiders,21,san-diego-chargers,20,
1978,2,1978-09-11,denver-broncos,9,minnesota-vikings,12,OT
1978,3,1978-09-17,chicago-bears,19,detroit-lions,0,
1978,3,1978-09-17,cleveland-browns,24,atlanta-falcons,16,
1978,3,1978-09-17,kansas-city-chiefs,10,new-york-giants,26,
1978,3,1978-09-17,oakland-raiders,28,green-bay-packers,3,
1978,3,1978-09-17,philadelphia-eagles,24,new-orleans-saints,17,
1978,3,1978-09-17,pittsburgh-steelers,28,cincinnati-bengals,3,
1978,3,1978-09-17,san-francisco-49ers,19,houston-oilers,20,
1978,3,1978-09-17,seattle-seahawks,24,new-york-jets,17,
1978,3,1978-09-17,tampa-bay-buccaneers,16,minnesota-vikings,10,
1978,3,1978-09-17,washington-redskins,28,st.-louis-cardinals,10,
1978,3,1978-09-17,buffalo-bills,24,miami-dolphins,31,
1978,3,1978-09-17,dallas-cowboys,14,los-angeles-rams,27,
1978,3,1978-09-17,san-diego-chargers,14,denver-broncos,27,
1978,3,1978-09-18,baltimore-colts,34,new-england-patriots,27,
1978,4,1978-09-24,baltimore-colts,17,buffalo-bills,24,
1978,4,1978-09-24,cleveland-browns,9,pittsburgh-steelers,15,OT
1978,4,1978-09-24,denver-broncos,23,kansas-city-chiefs,17,OT
1978,4,1978-09-24,los-angeles-rams,10,houston-oilers,6,
1978,4,1978-09-24,miami-dolphins,3,philadelphia-eagles,17,
1978,4,1978-09-24,new-orleans-saints,20,cincinnati-bengals,18,
1978,4,1978-09-24,new-york-jets,3,washington-redskins,23,
1978,4,1978-09-24,atlanta-falcons,9,tampa-bay-buccaneers,14,
1978,4,1978-09-24,detroit-lions,16,seattle-seahawks,28,
1978,4,1978-09-24,green-bay-packers,24,san-diego-chargers,3,
1978,4,1978-09-24,new-england-patriots,21,oakland-raiders,14,
1978,4,1978-09-24,st.-louis-cardinals,12,dallas-cowboys,21,
1978,4,1978-09-24,san-francisco-49ers,10,new-york-giants,27,
1978,4,1978-09-25,minnesota-vikings,24,chicago-bears,20,
1978,5,1978-10-01,detroit-lions,14,green-bay-packers,35,
1978,5,1978-10-01,houston-oilers,16,cleveland-browns,13,
1978,5,1978-10-01,kansas-city-chiefs,13,buffalo-bills,28,
1978,5,1978-10-01,los-angeles-rams,26,new-orleans-saints,20,
1978,5,1978-10-01,minnesota-vikings,24,tampa-bay-buccaneers,7,
1978,5,1978-10-01,new-york-giants,20,atlanta-falcons,23,
1978,5,1978-10-01,pittsburgh-steelers,28,new-york-jets,17,
1978,5,1978-10-01,st.-louis-cardinals,10,miami-dolphins,24,
1978,5,1978-10-01,san-diego-chargers,23,new-england-patriots,28,
1978,5,1978-10-01,philadelphia-eagles,17,baltimore-colts,14,
1978,5,1978-10-01,cincinnati-bengals,12,san-francisco-49ers,28,
1978,5,1978-10-01,oakland-raiders,25,chicago-bears,19,OT
1978,5,1978-10-01,seattle-seahawks,7,denver-broncos,28,
1978,5,1978-10-02,dallas-cowboys,5,washington-redskins,9,
1978,6,1978-10-08,atlanta-falcons,7,pittsburgh-steelers,31,
1978,6,1978-10-08,baltimore-colts,30,st.-louis-cardinals,17,
1978,6,1978-10-08,buffalo-bills,14,new-york-jets,45,
1978,6,1978-10-08,chicago-bears,14,green-bay-packers,24,
1978,6,1978-10-08,cleveland-browns,24,new-orleans-saints,16,
1978,6,1978-10-08,new-york-giants,3,dallas-cowboys,24,
1978,6,1978-10-08,philadelphia-eagles,14,new-england-patriots,24,
1978,6,1978-10-08,tampa-bay-buccaneers,30,kansas-city-chiefs,13,
1978,6,1978-10-08,washington-redskins,21,detroit-lions,19,
1978,6,1978-10-08,denver-broncos,0,san-diego-chargers,23,
1978,6,1978-10-08,houston-oilers,17,oakland-raiders,21,
1978,6,1978-10-08,minnesota-vikings,28,seattle-seahawks,29,
1978,6,1978-10-08,san-francisco-49ers,10,los-angeles-rams,27,
1978,6,1978-10-09,cincinnati-bengals,0,miami-dolphins,21,
1978,7,1978-10-15,buffalo-bills,10,houston-oilers,17,
1978,7,1978-10-15,dallas-cowboys,24,st.-louis-cardinals,21,OT
1978,7,1978-10-15,detroit-lions,0,atlanta-falcons,14,
1978,7,1978-10-15,new-england-patriots,10,cincinnati-bengals,3,
1978,7,1978-10-15,pittsburgh-steelers,34,cleveland-browns,14,
1978,7,1978-10-15,seattle-seahawks,28,green-bay-packers,45,
1978,7,1978-10-15,tampa-bay-buccaneers,14,new-york-giants,17,
1978,7,1978-10-15,washington-redskins,10,philadelphia-eagles,17,
1978,7,1978-10-15,new-york-jets,33,baltimore-colts,10,
1978,7,1978-10-15,kansas-city-chiefs,6,oakland-raiders,28,
1978,7,1978-10-15,los-angeles-rams,34,minnesota-vikings,17,
1978,7,1978-10-15,miami-dolphins,28,san-diego-chargers,21,
1978,7,1978-10-15,new-orleans-saints,14,san-francisco-49ers,7,
1978,7,1978-10-16,chicago-bears,7,denver-broncos,16,
1978,8,1978-10-22,chicago-bears,19,tampa-bay-buccaneers,33,
1978,8,1978-10-22,cincinnati-bengals,0,buffalo-bills,5,
1978,8,1978-10-22,cleveland-browns,3,kansas-city-chiefs,17,
1978,8,1978-10-22,green-bay-packers,7,minnesota-vikings,21,
1978,8,1978-10-22,miami-dolphins,24,new-england-patriots,33,
